Trial Name: trial_hopefully_good_20260430-195315
Experiment Settings:
Trial Name: trial_hopefully_good
Manual Seed: 12345
Batch Size: 16
Image Size: 64
Latent Vector Size: 400
Generator Feature Map Size: 128
Discriminator Feature Map Size: 64
Number of Epochs: 25
Learning Rate: 0.0001
Beta1: 0.5
Number of GPUs: 1
Verbose Every N Batches: 25
Break After N Batches: 250
Save Model Every N Epochs: 25
Save Images Every N Iters: 150

Start Time = Thu Apr 30 19:53:15 2026
e[5/25]b[101/250]	Loss_D: 0.5053	Loss_G: 4.2547	D(x): 0.9322	D(G(z)): 0.2384 / 0.0114
e[5/25]b[126/250]	Loss_D: 1.2628	Loss_G: 3.7594	D(x): 0.8472	D(G(z)): 0.5775 / 0.0195
e[5/25]b[151/250]	Loss_D: 0.4635	Loss_G: 4.2443	D(x): 0.8446	D(G(z)): 0.1721 / 0.0125
e[5/25]b[176/250]	Loss_D: 1.0791	Loss_G: 1.9800	D(x): 0.6755	D(G(z)): 0.4624 / 0.1280
e[5/25]b[201/250]	Loss_D: 0.7180	Loss_G: 2.7656	D(x): 0.8993	D(G(z)): 0.3737 / 0.0553
e[5/25]b[226/250]	Loss_D: 0.4930	Loss_G: 2.8763	D(x): 0.8931	D(G(z)): 0.2186 / 0.0488
e[6/25]b[1/250]	Loss_D: 5.1227	Loss_G: 0.3136	D(x): 0.0140	D(G(z)): 0.1292 / 0.7933
e[6/25]b[26/250]	Loss_D: 1.1082	Loss_G: 2.0008	D(x): 0.5904	D(G(z)): 0.4135 / 0.1281
e[6/25]b[51/250]	Loss_D: 1.1080	Loss_G: 1.4304	D(x): 0.4756	D(G(z)): 0.2749 / 0.2427
e[6/25]b[76/250]	Loss_D: 2.0412	Loss_G: 2.5120	D(x): 0.6420	D(G(z)): 0.7736 / 0.0702
e[6/25]b[101/250]	Loss_D: 0.7623	Loss_G: 1.9865	D(x): 0.5387	D(G(z)): 0.0867 / 0.1279
e[6/25]b[126/250]	Loss_D: 3.2956	Loss_G: 5.2690	D(x): 0.8017	D(G(z)): 0.9309 / 0.0071
e[6/25]b[151/250]	Loss_D: 0.4552	Loss_G: 3.8651	D(x): 0.9029	D(G(z)): 0.1762 / 0.0317
e[6/25]b[176/250]	Loss_D: 0.6894	Loss_G: 1.8834	D(x): 0.5729	D(G(z)): 0.0975 / 0.1833
e[6/25]b[201/250]	Loss_D: 0.3617	Loss_G: 2.8729	D(x): 0.9382	D(G(z)): 0.1176 / 0.0506
e[6/25]b[226/250]	Loss_D: 0.4991	Loss_G: 2.0003	D(x): 0.7335	D(G(z)): 0.0865 / 0.1325
e[7/25]b[1/250]	Loss_D: 3.1523	Loss_G: 0.4217	D(x): 0.0431	D(G(z)): 0.0815 / 0.7300
e[7/25]b[26/250]	Loss_D: 0.5437	Loss_G: 2.2110	D(x): 0.7041	D(G(z)): 0.1132 / 0.0977
e[7/25]b[51/250]	Loss_D: 0.4245	Loss_G: 3.1466	D(x): 0.9403	D(G(z)): 0.1535 / 0.0384
e[7/25]b[76/250]	Loss_D: 0.9132	Loss_G: 2.3407	D(x): 0.6828	D(G(z)): 0.3269 / 0.0848
e[7/25]b[101/250]	Loss_D: 0.3341	Loss_G: 3.3836	D(x): 0.9012	D(G(z)): 0.0865 / 0.0336
e[7/25]b[126/250]	Loss_D: 0.5836	Loss_G: 1.9523	D(x): 0.5984	D(G(z)): 0.0086 / 0.1705
e[7/25]b[151/250]	Loss_D: 0.8629	Loss_G: 4.6554	D(x): 0.9028	D(G(z)): 0.4578 / 0.0077
e[7/25]b[176/250]	Loss_D: 1.2301	Loss_G: 5.2529	D(x): 0.9632	D(G(z)): 0.6157 / 0.0040
e[7/25]b[201/250]	Loss_D: 0.9445	Loss_G: 0.7919	D(x): 0.4264	D(G(z)): 0.0962 / 0.4861
e[7/25]b[226/250]	Loss_D: 0.6225	Loss_G: 1.9014	D(x): 0.6885	D(G(z)): 0.1284 / 0.1490
e[8/25]b[1/250]	Loss_D: 1.1303	Loss_G: 0.7288	D(x): 0.3669	D(G(z)): 0.1026 / 0.5189
e[8/25]b[26/250]	Loss_D: 0.6393	Loss_G: 2.8554	D(x): 0.7187	D(G(z)): 0.1705 / 0.0552
e[8/25]b[51/250]	Loss_D: 1.2870	Loss_G: 4.1428	D(x): 0.9579	D(G(z)): 0.6346 / 0.0171
e[8/25]b[76/250]	Loss_D: 0.6696	Loss_G: 3.2486	D(x): 0.6149	D(G(z)): 0.0979 / 0.0333
e[8/25]b[101/250]	Loss_D: 0.4716	Loss_G: 3.2579	D(x): 0.9180	D(G(z)): 0.2098 / 0.0328
e[8/25]b[126/250]	Loss_D: 0.4003	Loss_G: 2.3087	D(x): 0.8164	D(G(z)): 0.0838 / 0.1231
